"COLONY","PlantID","Sex_t","Sever","Time","Lf_t","ST.BOR.t","DMG.t","Total_nodes","SexF_t1","brnoF_t1","SexB_t1","brnoB_t1","LfFtot_t1","LfBtot_t1","Lftot_t1","SexF_t2","brnoF_t2","SexB_t2","brnoB_t2","LftotF_t2","LftotB_t2","Lftot_t2"
18,360,"V","C","T3","344.85","N","N",11,"V",1,NA,"0",457.237,0,457.237,NA,NA,NA,NA,NA,NA,NA
19,361,"S","S1","T2","683.697","Y","N",5,NA,0,"S","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,362,"V","S1","T2","400.4425","Y","Y",4,"V",1,"V","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,363,"S","S2","T2","618.5865","N","N",5,"S",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
19,364,"V","S2","T2","314.34925","Y","N",5,"V",1,NA,"0",271.528,0,271.528,NA,NA,NA,NA,NA,NA,NA
19,365,"S","S4","T2","432.03","Y","N",6,"V",1,NA,"0",322.3125,0,322.3125,NA,NA,NA,NA,NA,NA,NA
19,366,"V","S4","T2","416.97","Y","N",6,"V",1,NA,"0",383.915,0,383.915,NA,NA,NA,NA,NA,NA,NA
19,367,"S","C","T2","649.299","N","N",8,"S",1,NA,"0",570.975,0,570.975,NA,NA,NA,NA,NA,NA,NA
19,368,"V","C","T2","442.36225","Y","N",7,"V",1,NA,"0",165.4515,0,165.4515,NA,NA,NA,NA,NA,NA,NA
19,369,"S","S1","T1","605.775","Y","N",11,"S",2,"V","1",638.821,618.305,1257.126,NA,NA,NA,NA,NA,NA,NA
19,370,"V","S1","T1","165.4515","N","N",5,NA,0,NA,"0",0,0,0,NA,NA,NA,NA,NA,NA,NA
19,371,"S","S2","T1","664.041","Y","N",11,"S",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
19,372,"V","S2","T1","122.7805","Y","N",6,NA,0,NA,"0",0,0,0,NA,NA,NA,NA,NA,NA,NA
19,373,"S","S4","T1","243.894","N","N",11,"S",1,NA,"0",536.928,0,536.928,NA,NA,NA,NA,NA,NA,NA
19,374,"V","S4","T1","286.10225","Y","N",5,"S",1,NA,"0",274.5555,0,274.5555,NA,NA,NA,NA,NA,NA,NA
19,375,"S","C","T1","717.744","N","N",11,"S",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
19,376,"V","C","T1","225.5515","N","N",6,"V",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
19,377,"S","S1","T3","521.535","Y","N",11,"S",1,"V","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,378,"V","S1","T3","307.588","Y","N",11,NA,0,NA,"0",0,0,0,NA,NA,NA,NA,NA,NA,NA
19,379,"S","S2","T3","879.906","N","N",11,"S",2,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
19,380,"V","S2","T3","468.055","Y","N",11,"S",1,NA,"0",420.045,0,420.045,NA,NA,NA,NA,NA,NA,NA
19,381,"S","S4","T3","797.772","Y","N",11,"S",1,NA,"0",1163.463,0,1163.463,NA,NA,NA,NA,NA,NA,NA
19,382,"V","S4","T3","433.798","Y","N",11,"V",1,NA,"0",225.5515,0,225.5515,NA,NA,NA,NA,NA,NA,NA
19,384,"V","C","T3","272.129","Y","N",11,"V",1,NA,"0",300.376,0,300.376,NA,NA,NA,NA,NA,NA,NA
21,385,"S","S1","T2","625.431","N","N",7,"V",2,NA,"0",456.3205,0,456.3205,"V",2,"NAN",0,327.5965,0,327.5965
21,386,"V","S1","T2","376.25225","Y","N",5,"V",1,"V","1",NA,285.952,NA,"V",1,"V",1,108.056,322.3125,430.3685
21,387,"S","S2","T2","464.8485","Y","N",7,"V",1,"V","1",NA,NA,NA,"V",1,"V",1,93.632,94.3137,187.9457
21,388,"V","S2","T2","442.36225","N","N",7,"V",1,"V","1",425.384,314.8,740.184,"V",1,"V",1,292.8635,NA,NA
21,389,"S","S4","T2","631.2225","N","N",8,"S",2,NA,"0",NA,0,NA,"V",3,"NAN",0,972.51475,0,972.51475
21,390,"V","S4","T2","300.376","Y","N",8,NA,0,NA,"0",0,0,0,"NAN",0,"NAN",0,0,0,0
21,391,"S","C","T2","688.611","N","N",6,"S",1,NA,"0",709.62,0,709.62,"V",1,"NAN",0,733.096,0,733.096
21,392,"V","C","T2","408.70625","N","N",6,"V",1,NA,"0",148.924,0,148.924,"V",1,"NAN",0,127.889,0,127.889
21,393,"S","S1","T1","420.096","N","N",11,"V",1,"V","1",272.129,182.58,454.709,"V",1,"V",1,345.00025,251.3945,596.39475
21,394,"V","S1","T1","188.59","N","N",11,"V",1,NA,"0",68.4776,0,68.4776,"V",1,"NAN",0,58.4059,0,58.4059
21,395,"S","S2","T1","382.188","N","N",11,"V",2,"V","1",753.406,359.875,1113.281,"V",2,"V",2,462.671,511.163,973.834
21,396,"V","S2","T1","279.0405","Y","N",11,"V",1,"V","1",53.589,127.889,181.478,"V",1,"V",1,127.889,206.16925,334.05825
21,397,"S","S4","T1","331.8195","N","N",11,NA,0,"V","1",0,143.515,143.515,"NAN",0,"V",1,0,138.25625,138.25625
21,398,"V","S4","T1","352.663","N","N",11,"V",1,NA,"0",468.055,0,468.055,"V",1,"NAN",0,608.088,0,608.088
21,399,"S","C","T1","846.21","Y","N",11,"V",2,NA,"0",209.2,0,209.2,"V",2,"NAN",0,615.4765,0,615.4765
21,400,"V","C","T1","293.164","N","N",11,"V",1,NA,"0",468.3555,0,468.3555,"V",1,"NAN",0,569.023,0,569.023
21,401,"S","S1","T3","364.287","Y","N",4,"V",1,NA,"0",188.59,0,188.59,"V",1,"NAN",0,279.0405,0,279.0405
21,402,"V","S1","T3","376.102","N","N",11,"V",1,NA,"0",272.129,0,272.129,"V",1,"NAN",0,368.289,0,368.289
21,403,"S","S2","T3","602.4405","N","N",5,"V",2,NA,"0",898.3972,0,898.3972,"V",2,"NAN",0,558.3815,0,558.3815
21,404,"V","S2","T3","384.2155","Y","N",5,"V",1,"V","1",NA,NA,NA,"V",1,"V",1,265.2175,81.6146,346.8321
21,405,"S","S4","T3","1045.7535","N","N",5,"S",1,NA,"0",1088.7,0,1088.7,"S",2,"NAN",0,1187.125,0,1187.125
21,406,"V","S4","T3","541.0765","N","N",11,"S",1,NA,"0",425.31,0,425.31,"V",1,"V",1,225.251,94.3137,319.5647
21,407,"S","C","T3","967.8315","Y","N",4,"S",1,NA,"0",NA,0,NA,"V",1,"NAN",0,560.008,0,560.008
21,408,"V","C","T3","279.0405","N","N",6,"V",2,NA,"0",666.916,0,666.916,"V",2,"NAN",0,599.2495,0,599.2495
23,409,"S","S1","T2","483.4515","N","N",6,"V",2,"V","1",312.272,495.1,807.372,"V",2,"V",2,537.19625,641.3375,1178.53375
23,410,"V","S1","T2","314.95025","N","N",5,"V",1,NA,"0",171.161,0,171.161,"V",1,"NAN",0,182.12925,0,182.12925
23,411,"S","S2","T2","586.821","N","N",5,"V",2,"V","1",NA,271.528,NA,"V",2,"NAN",0,705.726,0,705.726
23,412,"V","S2","T2","486.085","N","N",5,"V",1,"V","1",477.07,NA,NA,"V",1,"V",1,400.4425,212.63,613.0725
23,413,"S","S4","T2","753.195","N","N",5,"S",2,NA,"0",NA,0,NA,"V",2,"NAN",0,383.19,0,383.19
23,414,"V","S4","T2","495.1","N","N",6,"S",1,NA,"0",635.208,0,635.208,"S",1,"NAN",0,719.9745,0,719.9745
23,415,"S","C","T2","557.337","N","N",5,"S",1,NA,"0",794.7375,0,794.7375,"V",2,"NAN",0,885.025,0,885.025
23,416,"V","C","T2","588.856","N","N",5,"V",1,NA,"0",513.13,0,513.13,"V",1,"NAN",0,569.023,0,569.023
23,417,"S","S1","T1","597.8775","N","N",11,"S",2,NA,"0",NA,0,NA,"V",2,"NAN",0,NA,0,NA
23,418,"V","S1","T1","307.2875","N","N",6,"S",1,"V","1",348.792,NA,NA,"V",1,"V",1,337.3375,486.085,823.4225
23,419,"S","S2","T1","446.5965","N","N",11,"S",2,NA,"0",743.214,0,743.214,"V",3,"NAN",0,957.3215,0,957.3215
23,420,"V","S2","T1","238.473","N","N",11,"V",1,"V","1",359.875,NA,NA,"V",1,"V",1,337.3375,49.21,386.5475
23,421,"S","S4","T1","586.119","N","N",11,"S",2,NA,"0",NA,0,NA,"V",2,"NAN",0,429.709,0,429.709
23,422,"V","S4","T1","251.695","N","N",5,"V",1,NA,"0",NA,0,NA,"V",1,"NAN",0,494.94975,0,494.94975
23,423,"S","C","T1","600.861","N","N",6,"S",1,NA,"0",556.584,0,556.584,"S",1,"NAN",0,505.689,0,505.689
23,424,"V","C","T1","588.856","N","N",11,"S",1,NA,"0",934.962,0,934.962,"S",1,"NAN",0,972.87,0,972.87
23,425,"S","S1","T3","737.2245","N","N",11,"S",1,NA,"0",253.32,0,253.32,"V",1,"V",1,58.4059,232.01225,290.41815
23,426,"V","S1","T3","383.915","N","N",11,"S",1,"V","1",NA,NA,NA,"V",1,"V",1,279.0405,127.889,406.9295
23,427,"S","S2","T3","717.042","N","N",11,"S",2,NA,"0",752.34,0,752.34,"V",3,"V",1,522.4455,271.97875,794.42425
23,428,"V","S2","T3","400.4425","N","N",11,"S",1,"V","1",338.4375,NA,NA,"V",1,"NAN",0,329.825,0,329.825
23,429,"S","S4","T3","657.021","N","N",11,"S",1,"V","1",714.534,47.0205,761.5545,"S",2,"V",1,747.1225,65.8502,812.9727
23,430,"V","S4","T3","442.212","N","N",11,"V",1,NA,"0",494.499,0,494.499,"V",1,"NAN",0,531.16,0,531.16
23,431,"S","C","T3","387.804","N","N",4,"V",2,NA,"0",NA,0,NA,"S",2,"NAN",0,690.8785,0,690.8785
23,432,"V","C","T3","459.49075","N","N",11,"V",1,NA,"0",608.088,0,608.088,"V",1,"NAN",0,607.363,0,607.363
25,433,"S","S1","T2","639.822","N","N",8,"S",1,NA,"0",391.0875,0,391.0875,"V",1,"NAN",0,329.224,0,329.224
25,434,"V","S1","T2","459.49075","N","N",7,"V",2,"V","1",NA,376.102,NA,"V",2,"V",1,471.8375,375.65125,847.48875
25,435,"S","S2","T2","348.492","N","N",7,"V",2,NA,"0",NA,0,NA,"V",2,"NAN",0,664.30775,0,664.30775
25,436,"V","S2","T2","569.624","N","N",8,"V",1,"V","1",NA,495.1,NA,"V",1,"V",1,218.64,400.027275,618.667275
25,437,"S","S4","T2","534.171","N","N",6,"S",1,"V","1",693.2985,NA,NA,"V",2,"NAN",0,636.66175,0,636.66175
25,438,"V","S4","T2","408.556","N","N",5,"S",1,"V","1",520.08,NA,NA,"V",1,"V",1,NA,NA,NA
25,439,"S","C","T2","470.64","N","N",7,NA,0,NA,"0",0,0,0,"NAN",0,"NAN",0,0,0,0
25,440,"V","C","T2","433.798","N","N",7,"V",1,NA,"0",477.07,0,477.07,"NAN",0,"NAN",0,0,0,0
25,441,"S","S1","T1","515.568","N","N",11,NA,0,NA,"0",0,0,0,"NAN",0,"NAN",0,0,0,0
25,442,"V","S1","T1","244.93375","N","N",11,"V",1,NA,"0",225.5515,0,225.5515,"V",1,"NAN",0,219.241,0,219.241
25,443,"S","S2","T1","592.086","N","N",11,"S",2,"V","1",881.848,NA,NA,"S",2,"V",1,1007.23,65.19335,1072.42335
25,444,"V","S2","T1","360.6551","N","N",11,"V",1,"V","1",NA,NA,NA,"V",1,"V",1,200.61,171.161,371.771
25,445,"S","S4","T1","739.857","N","N",11,"V",1,"V","1",NA,NA,NA,"V",1,"V",1,98.47375,49.21,147.68375
25,446,"V","S4","T1","307.588","N","N",11,"V",1,NA,"0",376.102,0,376.102,"V",1,"NAN",0,122.48,0,122.48
25,447,"S","C","T1","529.608","N","N",11,"S",1,NA,"0",829.662,0,829.662,"S",1,"NAN",0,844.404,0,844.404
25,448,"V","C","T1","495.1","N","N",11,"V",1,NA,"0",154.333,0,154.333,"NAN",0,"NAN",0,0,0,0
25,449,"S","S1","T3","728.274","N","N",6,"S",1,"V","1",NA,NA,NA,"V",1,"V",1,282.88145,425.384,708.26545
25,450,"V","S1","T3","513.13","N","N",11,"S",1,NA,"0",407.76,0,407.76,"V",1,"NAN",0,477.2465,0,477.2465
25,451,"S","S2","T3","498.369","N","N",11,"S",1,"V","1",NA,NA,NA,"NAN",0,"NAN",0,0,0,0
25,452,"V","S2","T3","408.556","N","N",11,"S",1,NA,"0",341.772,0,341.772,"V",1,"NAN",0,424.03175,0,424.03175
25,453,"S","S4","T3","565.41","N","Y",11,"S",1,NA,"0",586.068,0,586.068,"V",3,"NAN",0,NA,0,NA
25,454,"V","S4","T3","392.17875","N","Y",11,NA,0,NA,"0",0,0,0,"NAN",0,"NAN",0,0,0,0
25,455,"S","C","T3","620.166","N","N",5,"V",2,NA,"0",NA,0,NA,"V",2,"NAN",0,705.6265,0,705.6265
25,456,"V","C","T3","368.289","N","N",11,"S",1,NA,"0",548.862,0,548.862,"V",1,"NAN",0,598.7725,0,598.7725
26,457,"S","S1","T2","450.282","N","N",6,"S",2,NA,"0",NA,0,NA,"V",1,"NAN",0,338.9499,0,338.9499
26,458,"V","S1","T2","384.2155","N","N",5,"V",1,"V","1",98.59025,351.7615,450.35175,"V",1,"V",2,225.5515,418.79925,644.35075
26,459,"S","S2","T2","786.54","Y","N",6,"S",1,"V","1",340.5435,279.818,620.3615,"V",1,"V",2,608.088,297.0875,905.1755
26,460,"V","S2","T2","486.085","N","N",6,"V",1,"V","1",NA,NA,NA,"V",1,"V",1,329.825,219.241,549.066
26,461,"S","S4","T2","742.665","Y","N",6,"S",1,"V","1",907.935,138.2563,1046.1913,"S",1,"V",1,525.696,103.9475,629.6435
26,462,"V","S4","T2","360.476","Y","N",6,"V",1,NA,"0",NA,0,NA,"V",1,"NAN",0,569.624,0,569.624
26,463,"S","C","T2","744.771","N","N",6,"S",1,NA,"0",NA,0,NA,"S",1,"NAN",0,588.876,0,588.876
26,464,"V","C","T2","352.663","N","N",5,"V",1,NA,"0",NA,0,NA,"V",1,"NAN",0,495.1,0,495.1
26,465,"S","S1","T1","531.8895","Y","N",11,NA,0,NA,"0",0,0,0,"NAN",0,"NAN",0,0,0,0
26,466,"V","S1","T1","279.0405","N","N",5,NA,0,NA,"0",0,0,0,"NAN",0,"NAN",0,0,0,0
26,467,"S","S2","T1","466.779","N","N",7,"V",1,"V","1",NA,159.742,NA,"V",1,"V",0,408.556,0,408.556
26,468,"V","S2","T1","408.556","N","N",11,"S",1,NA,"0",479.364,0,479.364,"V",1,"NAN",0,486.085,0,486.085
26,469,"S","S4","T1","757.407","N","N",11,"V",1,NA,"0",NA,0,NA,"V",1,"NAN",0,376.102,0,376.102
26,470,"V","S4","T1","579.24","Y","N",11,"V",1,NA,"0",NA,0,NA,"NAN",0,"NAN",0,0,0,0
26,471,"S","C","T1","508.899","N","N",5,"V",1,NA,"0",NA,0,NA,"S",1,"NAN",0,693.123,0,693.123
26,472,"V","C","T1","513.13","N","N",11,NA,0,NA,"0",0,0,0,"NAN",0,"NAN",0,0,0,0
26,473,"S","S1","T3","891.489","N","N",11,"V",1,"S","1",NA,NA,NA,"NAN",0,"NAN",0,0,0,0
26,474,"V","S1","T3","485.7845","Y","N",11,"V",1,"V","2",NA,359.6035,NA,"V",1,"V",2,127.54035,221.851,349.39135
26,475,"S","S2","T3","789.348","N","N",11,"V",1,NA,"0",588.856,0,588.856,"S",1,"NAN",0,867.57,0,867.57
26,476,"V","S2","T3","608.53875","N","N",11,"S",1,"V","1",603.267,194.4497,797.7167,"V",1,"V",1,608.689,258.306,866.995
26,477,"S","S4","T3","1022.763","N","N",11,"S",1,NA,"0",767.886,0,767.886,"S",2,"V",1,943.441,112.864,1056.305
26,478,"V","S4","T3","311.194","N","N",11,"V",1,NA,"0",352.663,0,352.663,"V",1,"NAN",0,329.67475,0,329.67475
26,479,"S","C","T3","596.649","Y","N",11,"S",1,NA,"0",836.331,0,836.331,"S",1,"NAN",0,934.26,0,934.26
26,480,"V","C","T3","541.0765","N","N",11,"V",1,NA,"0",765.8505,0,765.8505,"S",1,"NAN",0,994.632,0,994.632
27,481,"S","S1","T2","755.652","N","N",6,"V",1,NA,"0",285.952,0,285.952,"V",1,"NAN",0,374.9,0,374.9
27,482,"V","S1","T2","368.289","N","N",7,"V",1,"V","1",97.379,344.85,442.229,"V",1,"V",1,148.77375,450.9265,599.70025
27,483,"S","S2","T2","658.2495","N","N",6,"S",1,"V","1",621.87,513.13,1135,"S",1,"V",1,658.725,481.2945,1140.0195
27,485,"S","S4","T2","556.284","N","N",11,"S",1,"V","1",522.186,159.742,681.928,"S",1,"V",1,629.592,103.248,732.84
27,486,"V","S4","T2","486.085","N","N",7,"S",1,"V","1",623.976,108.056,732.032,"V",1,"V",1,486.085,132.9975,619.0825
27,487,"S","C","T2","583.662","N","N",7,"S",1,NA,"0",1072.554,0,1072.554,"S",1,"NAN",0,1122.045,0,1122.045
27,488,"V","C","T2","384.2155","N","N",8,"S",1,NA,"0",415.482,0,415.482,"V",1,"NAN",0,265.2175,0,265.2175
27,489,"S","S1","T1","571.377","N","N",7,"S",1,"V","1",311.586,245.084,556.67,"V",1,"V",1,468.3555,400.4425,868.798
27,490,"V","S1","T1","200.61","N","N",8,"V",1,"V","1",206.62,127.889,334.509,"V",1,"V",1,251.695,165.4515,417.1465
27,491,"S","S2","T1","613.497","N","N",7,"S",1,"V","1",637.314,NA,NA,"V",1,"V",1,477.22025,450.9265,928.14675
27,492,"V","S2","T1","307.588","N","N",6,"V",1,"V","1",NA,NA,NA,"NAN",0,"V",1,0,28.40975,28.40975
27,493,"S","S4","T1","472.5705","N","N",7,"V",1,NA,"0",NA,0,NA,"V",1,"NAN",0,91.138925,0,91.138925
27,494,"V","S4","T1","307.588","N","N",9,"S",1,NA,"0",163.464,0,163.464,"NAN",0,"V",1,0,38.91935,38.91935
27,495,"S","C","T1","683.1705","N","N",6,"S",1,NA,"0",934.26,0,934.26,"V",1,"NAN",0,794.5745,0,794.5745
27,496,"V","C","T1","344.85","N","N",7,"V",1,NA,"0",477.07,0,477.07,"V",1,"NAN",0,368.289,0,368.289
27,497,"S","S1","T3","548.0355","N","N",11,"V",1,"V","1",258.306,408.556,666.862,"V",1,"V",1,245.084,329.825,574.909
27,498,"V","S1","T3","360.32575","N","N",11,"S",1,NA,"0",148.02,0,148.02,"V",1,"NAN",0,182.58,0,182.58
27,499,"S","S2","T3","573.483","N","N",4,"S",1,"V","1",569.922,231.862,801.784,"S",1,"V",1,735.7695,127.889,863.6585
27,500,"V","S2","T3","477.07","N","N",11,"V",1,NA,"0",408.556,0,408.556,"V",1,"V",1,450.9265,212.9305,663.857
27,501,"S","S4","T3","462.216","N","N",11,"S",1,NA,"0",567.114,0,567.114,"V",1,"NAN",0,541.0765,0,541.0765
27,502,"V","S4","T3","345.00025","N","N",11,"V",1,NA,"0",408.556,0,408.556,"V",1,"V",1,360.476,51.3995,411.8755
27,503,"S","C","T3","313.9185","N","N",11,"S",1,NA,"0",814.92,0,814.92,"S",2,"NAN",0,755.68675,0,755.68675
27,504,"V","C","T3","314.95025","N","N",11,"S",1,NA,"0",631.698,0,631.698,"S",1,"NAN",0,503.4075,0,503.4075
28,505,"S","S1","T2","643.5075","N","N",7,"V",2,"V","2",291.979,69.3025,361.2815,"V",2,"V",1,344.78,322.12,666.9
28,506,"V","S1","T2","314.8","N","N",5,"V",1,"V","1",116.47,193.999,310.469,"V",1,"V",1,200.3095,182.58,382.8895
28,507,"S","S2","T2","490.647","N","N",6,"S",1,"V","1",480.768,300.376,781.144,"V",1,"V",1,359.875,314.95025,674.82525
28,508,"V","S2","T2","265.2175","N","N",7,"V",1,"V","1",300.376,170.56,470.936,"V",1,"V",1,293.164,103.9475,397.1115
28,509,"S","S4","T2","333.048","N","N",6,"V",1,NA,"0",408.556,0,408.556,"V",1,"NAN",0,459.49075,0,459.49075
28,510,"V","S4","T2","408.556","N","N",7,"S",1,"V","1",469.536,97.379,566.915,"V",1,"V",1,138.25625,85.227275,223.483525
28,511,"S","C","T2","738.102","N","N",6,"S",2,NA,"0",781.122,0,781.122,"V",3,"NAN",0,1087.1375,0,1087.1375
28,512,"V","C","T2","352.663","N","N",7,"S",1,NA,"0",463.218,0,463.218,"V",2,"NAN",0,490.61875,0,490.61875
28,513,"S","S1","T1","306.021","N","N",11,"S",2,"V","2",NA,NA,NA,"V",2,"V",2,207.574375,332.706,540.280375
28,514,"V","S1","T1","408.70625","N","N",5,"S",2,NA,"0",NA,0,NA,"V",2,"NAN",0,387.24675,0,387.24675
28,515,"S","S2","T1","472.2195","N","N",6,"V",2,"V","2",NA,194.758,NA,"V",2,"V",2,136.5173,178.7498,315.2671
28,517,"S","S4","T1","570.8505","N","N",5,"S",1,NA,"0",499.02,0,499.02,"NAN",0,"NAN",0,0,0,0
28,518,"V","S4","T1","360.476","N","N",6,"V",1,"V","1",442.212,58.4059,500.6179,"V",1,"V",1,569.023,42.86045,611.88345
28,519,"S","C","T1","397.632","N","N",11,"S",1,NA,"0",627.486,0,627.486,"V",1,"NAN",0,531.16,0,531.16
28,521,"S","S1","T3","479.766","N","N",11,"S",1,"V","2",289.824,537.046,826.87,"V",1,"V",2,293.9415,87.585625,381.527125
28,522,"V","S1","T3","384.2155","N","N",11,"V",1,"V","1",219.241,212.506,431.747,"V",1,"V",1,272.129,171.01075,443.13975
28,523,"S","S2","T3","372.009","N","N",11,"V",2,NA,"0",NA,0,NA,"V",2,"NAN",0,348.48225,0,348.48225
28,524,"V","S2","T3","598.7725","N","N",11,"S",1,"V","1",541.14,158.54,699.68,"V",1,"V",1,690.27475,232.18875,922.4635
28,525,"S","S4","T3","730.9065","N","N",11,"S",1,"V","1",709.62,NA,NA,"V",2,"V",1,453.95775,55.28685,509.2446
28,526,"V","S4","T3","522.4455","N","N",11,"S",1,NA,"0",794.562,0,794.562,"S",1,"V",1,NA,107.90575,NA
28,527,"S","C","T3","436.242","N","N",11,"V",1,NA,"0",NA,0,NA,"V",1,"NAN",0,400.4425,0,400.4425
28,528,"V","C","T3","300.376","N","N",11,"V",1,NA,"0",408.556,0,408.556,"V",1,"NAN",0,457.254,0,457.254
